"Countries","Hits"
"Guinea",NA
"Guinea-Bissau",NA
"Guyana",NA
"Haiti",NA
"Heard & McDonald Islands",NA
"Honduras",NA
"Iceland",NA
"Iraq",NA
"Isle of Man",NA
"Jamaica",NA
"Jersey",NA
"Jordan",NA
"Kiribati",NA
"Kuwait",NA
"Kyrgyzstan",NA
"Laos",NA
"Lebanon",NA
"Lesotho",NA
"Liberia",NA
"Libya",NA
"Liechtenstein",NA
"Luxembourg",NA
"Macao",NA
"Madagascar",NA
"Malawi",NA
"Maldives",NA
"Mali",NA
"Malta",NA
"Marshall Islands",NA
"Martinique",NA
"Mauritania",NA
"Mauritius",NA
"Mayotte",NA
"Micronesia",NA
"Monaco",NA
"Montenegro",NA
"Montserrat",NA
"Mozambique",NA
"Namibia",NA
"Nauru",NA
"New Caledonia",NA
"Nicaragua",NA
"Niger",NA
"Niue",NA
"Norfolk Island",NA
"North Korea",NA
"Northern Mariana Islands",NA
"Palau",NA
"Palestine",NA
"Papua New Guinea",NA
"Paraguay",NA
"Pitcairn Islands",NA
"Rwanda",NA
"Réunion",NA
"Samoa",NA
"San Marino",NA
"Senegal",NA
"Seychelles",NA
"Sierra Leone",NA
"Sint Maarten",NA
"Solomon Islands",NA
"Somalia",NA
"South Georgia & South Sandwich Islands",NA
"South Sudan",NA
"St. Barthélemy",NA
"St. Helena",NA
"St. Kitts & Nevis",NA
"St. Lucia",NA
"St. Martin",NA
"St. Pierre & Miquelon",NA
"St. Vincent & Grenadines",NA
"Sudan",NA
"Suriname",NA
"Svalbard & Jan Mayen",NA
"Syria",NA
"São Tomé & Príncipe",NA
"Tajikistan",NA
"Tanzania",NA
"Timor-Leste",NA
"Togo",NA
"Tokelau",NA
"Tonga",NA
"Turkmenistan",NA
"Turks & Caicos Islands",NA
"Tuvalu",NA
"U.S. Outlying Islands",NA
"U.S. Virgin Islands",NA
"Vanuatu",NA
"Vatican City",NA
"Wallis & Futuna",NA
"Western Sahara",NA
"Yemen",NA
"Zambia",NA
"Zimbabwe",NA
"Åland Islands",NA
