"Countries","Hits"
"Mali",NA
"Marshall Islands",NA
"Martinique",NA
"Mauritania",NA
"Mayotte",NA
"Micronesia",NA
"Moldova",NA
"Monaco",NA
"Montenegro",NA
"Montserrat",NA
"Mozambique",NA
"Nauru",NA
"New Caledonia",NA
"Nicaragua",NA
"Niger",NA
"Niue",NA
"Norfolk Island",NA
"North Korea",NA
"North Macedonia",NA
"Northern Mariana Islands",NA
"Palau",NA
"Pitcairn Islands",NA
"Réunion",NA
"Samoa",NA
"San Marino",NA
"Senegal",NA
"Sint Maarten",NA
"Slovenia",NA
"Somalia",NA
"South Georgia & South Sandwich Islands",NA
"South Sudan",NA
"St. Barthélemy",NA
"St. Helena",NA
"St. Kitts & Nevis",NA
"St. Lucia",NA
"St. Martin",NA
"St. Pierre & Miquelon",NA
"St. Vincent & Grenadines",NA
"Sudan",NA
"Suriname",NA
"Svalbard & Jan Mayen",NA
"Syria",NA
"São Tomé & Príncipe",NA
"Tajikistan",NA
"Timor-Leste",NA
"Togo",NA
"Tokelau",NA
"Tonga",NA
"Turkmenistan",NA
"Turks & Caicos Islands",NA
"Tuvalu",NA
"U.S. Outlying Islands",NA
"U.S. Virgin Islands",NA
"Uzbekistan",NA
"Vanuatu",NA
"Vatican City",NA
"Wallis & Futuna",NA
"Western Sahara",NA
"Yemen",NA
"Åland Islands",NA
